,text,labels
0,"@samirasawlani @drtedros #blacklivesmatter
#nigroandproud
#covid19

you are a highly esteemed person. you are wise dr @drtedros you are very precious to us. ጠንካራ የኢየሱስ ክርስቶስ ተከታይ ሁን ፡፡",0
1,"#bayschuck
@pepsi #pepsi #oxygen @bayschuck  
#kkwthejusticeproject
@docmellymel @kimkardashian @krisjenner #justiceproject #gayanthems @madametussauds
#blacklivesmatter #oprah #itgetsbetter @blklivesmatter  @oprah #logotv @logotv  #ellen @theellenshow URL",0
2,"#thebachelor #yanggang    ""he says the other prisoners are commonplace and rude;  #sgp #ctl #ctl #blm #ctl URL",0
3,"no mais sérieux quoi, qu’est-ce que nous africains avons fait au monde 🌍 🤷🏾‍♂️ 
comme si ça ne suffisait pas, il fallait que les noiches(les jaunes) aussi s’y mettent!!!
#blacklivesmatter",0
4,"#parliament to adjourn until august 
URL
#assembly #auspol #australia #council #covid19 #deal #elected #emergency #ferguson #government #house #leaderofthehouse #legislation #meet #publichealth #tas #tasmania URL",0
5,"#진실은어디에 #선관위 #선거부정 #중국인개표 #안산 #사전투표 
#justiceforall #강남역 #4번출구 #5월11일6시 #검은우산 #홍콩시위 #청년시위 #진실을알고싶습니다 URL",0
6,the latest the affordable swimwear daily! URL thanks to @today_housing @chfbc @punterspal7 #internetofthings #blm,0
7,"in creating a cure for the novel virus.
#woke9ja✊ advocator says #wokeafrica #wokeworld #healtheworld #helpeach1 #fightinequality #leadbyexample #staywoke #staysafe #beatpoverty #weorganiseforknowledgeempowerment9ja #honestyisourmotto #humanrights #justiceforall #iamwoke✊
✌️",0
8,"🤜💥 #releasethesnydercut 2️⃣1️⃣4️⃣ 💥🤛 
⚖️ #justiceforall ⚖️ 
➡️➡️➡️ #hopeneverdies ⬅️⬅️⬅️ 
⚒️ #forartisticintegrity ⚔️ 
@hbomax @warnermediagrp @att 

it's time!!! ⏱️⏲️⏰🕰️ URL",0
9,"# hazlitt group #briantallen  are we to presume that the history of africans in america as published prior to 1619 is the real history of africans in america?
#blacklivesmatter #indivisible #hazlitt URL",0
10,@cgasparino @barackobama @berniesanders @foxbusiness #berniebeatstrump #berniesanders2020 #bernie2020 #medicare4all #feelthebern #justiceforall #notmeus,0
11,shout out to nev #blacklivesmatter #catfish,0
12,juul teens #blacklivesmatter,0
13,#bernie2020 #berniesanders #berniesanders2020 #bernie #berniebeatstrump #democraticsocialism #progressive #progressives #blacklivesmatter @latinos4bernie @berniepride @lgbt4bernie @lgbtforbernie @blacksforbernie @lostdiva URL,0
14,book - #detroit: i do mind dying: a study in urban revolution URL re black liberation movement. #blm ht @haymarketbooks #socialjustice #cjreform #sjw #blacklivesmatter,0
15,#blacklivesmatter @ewarren 🔥🖤#scprimary2020 URL,0
16,lunch break reading! #swapprenticeship #ferguson #britishjournalofsocialwork URL,0
17,"so, here is the genuine review of ""dark""
firstly it seems everything like going in a sequence &amp; then everything puzzled just like life 😂 &amp; i'm like - my life have no meaning at all 👉 3.5/5 ⭐
 @netflixindia @netflix #movie #netflix #netflixhollywood #lmao  #blacklivesmatter URL",0
18,"#bernie2020 fighting 4 our rights! 

#berniesanders2020 #michiganprimary #berniesanders #votebernie2020 #voteforbernie #blacklivesmatter #hbcu #tuitionfreecollege #medicareforall #endcitizensunited #unionstrong #fightfor15 #unionsforall #solidarity #detroit #biden2020 #biden URL",0
19,"@bakerbyaccident @fawful81 #whenwevotewegetheard☑️
#whenwedontvotewegetherded🗳️  'history won't silence 
#herstory #globalfratparty™over'© #electiontrain  #iwd2020 
#climateemergency URL URL 
#athomewith #roe #noh8 #blm #votewoke 
#forthepeople #climateemergency",0
20,@wr4thselecti0n 2 #ericharris,0
21,"#evengodthisfemaleisnotyetrated™© #femalecrew
#femaledirector #lgbtq 
#metoo #blm 
#climate #movie #athome #albumsforisolation 
#applemusic #appletv 🍎🎬 URL 🎵URL 
URL 
+#youtube #google #vimeo URL",0
22,y’all are so weird just go out starting shit with 12 then get mad because they arrest then it’s #blacklivesmatter stfuuuuu 😂😂😂😂😭😭😩,0
23,"#unabletotweet from #applecomputer 

#agendamuch 
#ferguson URL",0
24,"این روزها انسانیت در هندوستان در حال قربانی  شدن است. کشتار مسلمان را متوقف کنید!
#stopkillingmuslims
#justiceforall
#justiceformuslims
#shameondelhipolice
#delhi2020 
#stopnrc #stopcab #stopcitizenshipamendmentbill2019",0
25,pls unfollow me if you don’t support #blacklivesmatter bc you don’t support me or my people,0
26,"@sassextra @thockman64 @davegrace14 @johnbrennan @realdonaldtrump yea
#trumpownseverydeath #covid45*
#fixamerica
#removethemftraitor
#stfu45* #freepress #fuckingmoron #void2016election #enough #ww3 #murderusmagats #unhackthevote #kochsuckers #blm #ripgop
#factsmatter
#trumpliespeopledie
#proctolaquists🚫
#heresyourflag🚩 URL",0
27,book - the #hollywood jim crow: the racial politics of the movie industry URL ht @nyupress #blacklivesmatter #blm #racism #socialjustice #sjw #sj,0
28,"@ivoryhoney oh, and #openborders.

oh, and #blacklivesmatter",0
29,"URL

#davechappelle is moore accurately than the accused ""white jesus"" 😆
#bailoutpeoplenotcorporations 
#blacklivesmatter 
#notdying4wallstreet",0
30,get my art printed on awesome products. support me at redbubble #rbandme:  URL #findyourthing #redbubble #ufc #ferguson #khabib,0
31,@gryking and used this bs to defraud people out of their money with fake gofundme campaigns exploiting #blm,0
32,"text ""black"" to 310 272 5438 to download the app
 #blacktwitter #blacklivesmatter #melanin #blackempowerment URL",0
33,"@profesorfacia bunların hiç birine gerek yok,hukuk işlesin  hakkı  ile extra hiç  bir çabaya  gerek kalmaz. sayıştay  bu denetlemeler için  var  . devlet denetleme kurulunu kaç  kişi  biliyor ? hukuk şart.  #justi̇ceforall .",0
34,everyone is telling everyone wash your hands but are you washing your chicken yet #coronavirus #jwl #blacklivesmatter,0
35,@ladbonnie @freespeech318 #blacklivesmatter i don't think so,0
36,"#sc #women #gopwomen #indie #dems #students #millennials #vets #blm #latinos #asian 👂 to what   @barackobama  thinks about @joebiden   #joeknowsus #biden2020                                            🌊🌊🌊
URL",0
37,listen! trump wax hate got strong immigrants you #blm scott adams,0
38,"follow @locksetalors 
#melanine #melanin
#myblackisbeautiful #lifestyle #blacklivesmatter #naturalhair #teamnatural #dreadlocks #instadreads #girlswithdreadlocks #hairstyle #wonderlocks #dreadshare #dreadslocstwist #naturalhairdaily #locshair #guadeloupe #parisienne #martinique URL",0
39,someone needs to speak for the vulnerable children and their caregivers at home. what good does it do to send them if you're just ensuring their parents get sick faster and all at once? #coronavirusupdates #shutdownnyc #stopthespread #flattenthecurve #staythefhome #blm URL,0
40,#blackhistory #stayhome #whentheyseeus #blackcommunity #blacklivesmatter #sayhername #blacktwitter #america #mississippi #oakland #louisiana #california #chicago #detroit URL,0
41,question for #blm twitter. would you tactically align with #alt-right to oppose martin shkreli continuing the war on the left? #commonsense,0
42,@broodinghamlet @vice well the #blacklivesmatter movement is far too black for my liking,0
43,"i have two sec filings!!!!
#blacklivesmatter #irish  #iranians #iraqi #french #hungarian #german #englishpeople #italians #jewish #hondurian #japanese #thai #guam #philipino",0
44,that was already perfectly clear to most black folks #blacktwitter #blm #covididiots #sanders2020 URL,0
45,regardez la diffusion de @ufc : ufc 249: press conference #ufc249 #ferguson #khabib URL,0
46,"somebody see whats going on here about dr kizzmeka ??,🤔🤔🤔🤔
hmm #blacktwitter #blackcommunity #blackpeople #ados #blackmen #fba #blacklivesmatter #b1 URL",0
47,"@joebiden fact check of joe biden's recent bizarre lies about his trip to south africa in 1977
URL #dnc #democrats #blacklivesmatter #biden2020",0
48,@derdrache #blm 😢😡,0
49,"what an amazing, informative, frightening and invigorating discussion with brilliant minds and passionate hearts.  #writersofcolor #speaktruth #multiracialcommunity #blacklivesmatter en book passage bookstore &amp; cafe URL",0
50,"trump in sewer on infrastructure #votebluenomatterwho2020 
4 decency dump trump cult cowardly gop senators #farmers #education #teaparty #aarp #veterans #metoo #genx #millenials #marchforourlives #1u #maga #independents #indigenous #p2 #latinx #blm #lgbtq URL",0
51,#aoc #berniesanders #healthcareforall #bailoutpeoplenotcorporations #blacklivesmatter #coronacrisis # URL,0
52,"pop smoke r.i.p. 💖🙏🏾 

#black_diary_love #blackexcellence #blacklovedoc #supportblackownedbusinesses #blackconsciousness  #trendingnews #blacklivesmatter  #blackbloggers #blackfathers #blackculture #melanin… URL",0
53,@iamnotjungkook #ericharris,0
54,"👊vuelven los grandes eventos 👊

🔥#gaethje 🆚 #ferguson cierran el #ufc249 

ferguson llega con una racha de 1️⃣2️⃣ victorias 
👉 URL URL",0
55,"@scaramucci is brilliant! 

#trumpistheworstpresidentever 
#trumpisthevirus #blacktwitter 
#blacklivesmatter #scaramucci URL",0
56,#blacklivesmatter fabric URL via @bebopsplace,0
57,"pics form left-to-right. the pal (police athletic league) half marathon, the mizner holiday mile, and a fau 5k to raise awareness and funds of cancer ( at the 5k we both placed top 3.) 

with each other’s support + training, we were top athletes. 🥇🏆

#blacklivesmatter  #runners URL",0
58,#justdoit #covid #handwashing #socialdistancing #flatenthecurve #blacktwitter #blacklivesmatter URL,0
59,"@carpediem4989 #shitpink 

#trumpliedpeopledied #theresistance #neveragain #fbr #vetsresistsquadron #covid19 is #trumpplague #blacklivesmatter #ousttherepublican #badmoneymanager #bankruptking #trumpvirus #racistinchief #trumppandemic #resist #bluewave2020 #trumpcrashedeconomy #trumplies",0
60,@alterego_my_ @andream8791 #buysaysoremixonitunes #buysayso #nickiminaj #blacklivesmatter #buysaysoremix #buysayso #dojacat #billboard #topnews #bbh100 #news #breakingnews #buysaysoremix #buy #buysayso 🦄🦄🦄🦄🦄🦄🦄🦄✨✨✨🦄🦄🦄🦄🦄🦄🦄🦄🦄🍪🍪🍪🦄🦄🦄🦄🦄🦄🦄🦄🦄🍪🍪✨🍪🍪🦄🦄🦄,0
61,"#bernie2020 fighting 4 our rights!

#berniesanders2020 #berniesanders #bernieisourhope #voteforbernie #blacklivesmatter #hbcu #tuitionfreecollege #medicareforall #endcitizensunited #unionstrong #fightfor15 #solidarity #biden2020 #biden #berniebrosfortrump #berniebros #bidenwarren URL",0
62,"running into the past
URL
#blacklivesmatter #oprah #itgetsbetter blklivesmatter  @oprah #logotv @logotv URL",0
63,⚡️#breakingnews y’all ✨👸🏾🤴🏾✨🌍 🎊🎉💃🏾🕺🏿👏🏿👏🏿👏🏿 from the #cle #ohio ❤️🖤💚 #blm #bhm   ✊🏿 #vote✅ #bernie2020 💯% #woke‼️ URL,0
64,is the dnc once again orchestrating the defeat of a socialist candidate? #nurses #blacklivesmatter #1u @massnurses @bostonunioncity @btu66 @unitehere26 @citylife_clvu @massjwj @boston_dsa @dsashore @northshoredsa URL,0
65,"karena pemain ini sir alex ferguson langgar aturan mu!
#ferguson #saha #neville #manchesterunited #ligainggris #beritaliga #beritaligainggris #beritabola #beritabolaterkini #kabarbola #bola #sepakbola URL URL",0
66,"#bayschuck ✍️ 
@pepsi #pepsi #oxygen @bayschuck
#kkwthejusticeproject
@docmellymel @kimkardashian @krisjenner #justiceproject #gayanthems @madametussauds
#blacklivesmatter #oprah #itgetsbetter @blklivesmatter  @oprah #logotv @logotv URL URL",0
67,#thebachelor #blacklivesmatter  half-crowns he would not have been half so astonished as he was at the  #tv #ya #ya #rt #ok URL,0
68,"chupan chupai full movie | pakistani movie 
watch : URL
#btsonhomefest 
#powerofprayers 
#pmimrankhan 
#tenup 
#suspendonlineclasses 
#fiverr 
#coronavirustruth 
#hyderabad 
#ferguson 
#bheekmangu 
#crypto 
#force 
URL URL",0
69,for all you entrepreneurs!  URL #kobefarewell #kobe #kobebyrant #kobeforever #kobeandgianna #kobeandgigi #kobegigibryant #kobebryanttribute #kobebryanttribute #kobecrash #artpakpoom #blacklivesmatter #ados #ai #brexitreality #coronarvirus,0
70,@time why did @ewarren not make this headline? she delivered the most powerful moments on that stage #sayhername,0
71,"🤜💥 #releasethesnydercut 2️⃣1️⃣4️⃣ 💥🤛 

⚖️ #justiceforall ⚖️ 

⚒️ #forartisticintegrity ⚔️ 

@hbomax @warnermediagrp @att URL",0
72,"🤜💥 #releasetheayercut 💥🤛 
⚖️ #justiceforall ⚖️ URL",0
73,"@acosta @cnn no, #acosta!  ivanka declines your question because you, acosta, are the thorn in everyone’s rose bush!  fakenews #fakenewscnn #fakeimpeachment #trump2020 #blacklivesmatter #whitesupremacists #trumpsremovaltrial",0
74,@robled45 @thesolerestocks cheers for your input dude #blacklivesmatter,0
75,"feliz #blackhistorymonth 
#blackexcellence #blackculture #blacklivesmatter URL",0
76,"silvan g.-r. meier kauft aktien von ferguson zurück

URL

#sanitaernews #ferguson",0
77,"#blacklivesmatter 
#alllivesmatter 
#hiphop 
#music 
#musician 
#rap 
#virginiabeach 
#thursdaymotivation 
#goodvibes 
#goodmusic 
#lovemusic 
#upcomingartist URL",0
78,"really!
#blacklivesmatter #indivisible #coronavirus URL",0
79,inshallah #niawilson #sayhername URL,0
80,what a war that was. wow #ufc249 #gaethje #ferguson,0
81,#dncrigging #dnccorruption #scprimary #sc2020 #southcarolina #southcarolinaprimary #neverbiden #berniebeatstrump #bernie2020 #notmeus #blm #blacklivesmatter #solidarity #riselikelions #2020vision #fightthepower #votebernie2020 #berniesanders #bernieismypresident #swagodking URL,0
82,"this #racist, etc. monroe county, pa hospital doctor blames people from #nyc, etc. for #coronavirus. #blacklivesmatter URL",0
83,@ymcatwincities while @timhelm5 president of @gwrymca @ymca stuffing his pockets with over $100k a year of donated money this is how he treats the poor! like a “shakedown” URL @bayerus @unitedway @unitedwaystl  @ymcachicago @worldymca @jared_yleader @emerson_news #ferguson,0
84,a just #covid19 response and recovery requires governments and donors to nurture grassroots legal empowerment efforts. the new #justiceforall policy brief shows why and how -- URL URL,0
85,@foolm1ns @repjohnlewis @time raw: watch #blacklivesmatter activist #ashleywilliams confront clinton  URL #neverbiden #thedemocraticpartyismorallybankrupt,0
86,"the latest update from @brownmedicine @snma  

#justiceforahmaudarbery #runwithmaud #blacklivesmatter 

URL URL",0
